[ROE] BHEL | Source=1.05 | Computed=21.91 | Category=Formula Difference
[ROE] BHEL | Source=1.05 | Computed=10.56 | Category=Formula Difference
[ROE] BHEL | Source=1.05 | Computed=-5.12 | Category=Formula Difference
[ROE] BHEL | Source=1.05 | Computed=-10.39 | Category=Formula Difference
[ROE] BOSCHLTD | Source=16.0 | Computed=7.01 | Category=Formula Difference
[ROE] BOSCHLTD | Source=16.0 | Computed=4.91 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=11.54 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=20.85 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=22.52 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=29.1 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=30.85 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=26.74 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=22.0 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=10.04 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=32.34 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=22.51 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=3.98 | Category=Formula Difference
[ROE] BPCL | Source=41.9 | Computed=35.51 | Category=Formula Difference
[ROE] BRITANNIA | Source=57.1 | Computed=46.59 | Category=Formula Difference
[ROE] BRITANNIA | Source=57.1 | Computed=49.5 | Category=Formula Difference
[ROE] BRITANNIA | Source=57.1 | Computed=39.44 | Category=Formula Difference
[ROE] BRITANNIA | Source=57.1 | Computed=32.83 | Category=Formula Difference
[ROE] BRITANNIA | Source=57.1 | Computed=29.48 | Category=Formula Difference
[ROE] BRITANNIA | Source=57.1 | Computed=27.16 | Category=Formula Difference
[ROE] BRITANNIA | Source=57.1 | Computed=31.66 | Category=Formula Difference
[ROE] BRITANNIA | Source=57.1 | Computed=65.53 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=11.9 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=8.85 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=9.02 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=-7.82 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=4.07 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=-10.5 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=1.85 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=-4.66 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=4.74 | Category=Formula Difference
[ROE] CANBK | Source=17.9 | Computed=8.8 | Category=Formula Difference
[ROE] CHOLAFIN | Source=20.2 | Computed=12.85 | Category=Formula Difference
[ROE] CIPLA | Source=16.8 | Computed=11.38 | Category=Formula Difference
[ROE] CIPLA | Source=16.8 | Computed=8.25 | Category=Formula Difference
[ROE] CIPLA | Source=16.8 | Computed=9.96 | Category=Formula Difference
[ROE] CIPLA | Source=16.8 | Computed=9.94 | Category=Formula Difference
[ROE] CIPLA | Source=16.8 | Computed=9.52 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=35.81 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=35.64 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=34.02 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=40.96 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=37.85 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=34.88 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=66.01 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=34.78 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=40.28 | Category=Formula Difference
[ROE] COALINDIA | Source=52.0 | Computed=45.17 | Category=Formula Difference
[ROE] DABUR | Source=19.2 | Computed=36.56 | Category=Formula Difference
[ROE] DABUR | Source=19.2 | Computed=34.49 | Category=Formula Difference
[ROE] DABUR | Source=19.2 | Computed=31.84 | Category=Formula Difference
[ROE] DABUR | Source=19.2 | Computed=30.06 | Category=Formula Difference
[ROE] DABUR | Source=19.2 | Computed=26.41 | Category=Formula Difference
[ROE] DABUR | Source=19.2 | Computed=25.67 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=24.07 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=26.08 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=24.37 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=26.23 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=19.79 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=19.45 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=18.84 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=21.34 | Category=Formula Difference
[ROE] DIVISLAB | Source=12.2 | Computed=25.24 | Category=Formula Difference
[ROE] DLF | Source=6.95 | Computed=1.85 | Category=Formula Difference
[ROE] DLF | Source=6.95 | Computed=1.27 | Category=Formula Difference
[ROE] DLF | Source=6.95 | Computed=12.68 | Category=Formula Difference
[ROE] DLF | Source=6.95 | Computed=-1.71 | Category=Formula Difference
[ROE] DMART | Source=14.5 | Computed=21.04 | Category=Formula Difference
[ROE] DMART | Source=14.5 | Computed=9.02 | Category=Formula Difference
[ROE] DRREDDY | Source=21.4 | Computed=10.54 | Category=Formula Difference
[ROE] DRREDDY | Source=21.4 | Computed=7.53 | Category=Formula Difference
[ROE] DRREDDY | Source=21.4 | Computed=13.9 | Category=Formula Difference
[ROE] DRREDDY | Source=21.4 | Computed=12.99 | Category=Formula Difference
[ROE] DRREDDY | Source=21.4 | Computed=11.07 | Category=Formula Difference
[ROE] DRREDDY | Source=21.4 | Computed=11.36 | Category=Formula Difference
[ROE] EICHERMOT | Source=24.2 | Computed=36.63 | Category=Formula Difference
[ROE] EICHERMOT | Source=24.2 | Computed=31.19 | Category=Formula Difference
[ROE] EICHERMOT | Source=24.2 | Computed=18.3 | Category=Formula Difference
[ROE] EICHERMOT | Source=24.2 | Computed=11.78 | Category=Formula Difference
[ROE] EICHERMOT | Source=24.2 | Computed=13.3 | Category=Formula Difference
[ROE] GAIL | Source=14.0 | Computed=5.15 | Category=Formula Difference
[ROE] GAIL | Source=14.0 | Computed=8.58 | Category=Formula Difference
[ROE] GAIL | Source=14.0 | Computed=19.31 | Category=Formula Difference
[ROE] GAIL | Source=14.0 | Computed=19.19 | Category=Formula Difference
[ROE] GAIL | Source=14.0 | Computed=8.62 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=25.51 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=21.7 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=22.64 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=19.48 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=24.67 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=26.11 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=32.23 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=18.95 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=18.23 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=15.43 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=12.34 | Category=Formula Difference
[ROE] GODREJCP | Source=6.77 | Computed=-4.45 | Category=Formula Difference
[ROE] GRASIM | Source=6.9 | Computed=19.22 | Category=Formula Difference
[ROE] GRASIM | Source=6.9 | Computed=13.67 | Category=Formula Difference
[ROE] GRASIM | Source=6.9 | Computed=12.6 | Category=Formula Difference
[ROE] GRASIM | Source=6.9 | Computed=13.53 | Category=Formula Difference
[ROE] GRASIM | Source=6.9 | Computed=14.8 | Category=Formula Difference
[ROE] GRASIM | Source=6.9 | Computed=14.07 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=1665.0 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=1966.92 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=1528.46 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=1763.91 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=2059.42 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=2249.31 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=3324.18 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=3283.05 | Category=Formula Difference
[ROE] HAL | Source=28.9 | Computed=3816.58 | Category=Formula Difference
[ROE] HAVELLS | Source=18.0 | Computed=40.29 | Category=Formula Difference
[ROE] HAVELLS | Source=18.0 | Computed=26.77 | Category=Formula Difference
[ROE] HAVELLS | Source=18.0 | Computed=42.95 | Category=Formula Difference
[ROE] HCLTECH | Source=23.3 | Computed=30.69 | Category=Formula Difference
[ROE] HCLTECH | Source=23.3 | Computed=33.39 | Category=Formula Difference
[ROE] HCLTECH | Source=23.3 | Computed=30.31 | Category=Formula Difference
[ROE] HDFCLIFE | Source=11.4 | Computed=33.43 | Category=Formula Difference
[ROE] HDFCLIFE | Source=11.4 | Computed=37.6 | Category=Formula Difference
[ROE] HDFCLIFE | Source=11.4 | Computed=30.93 | Category=Formula Difference
[ROE] HDFCLIFE | Source=11.4 | Computed=26.33 | Category=Formula Difference
[ROE] HDFCLIFE | Source=11.4 | Computed=23.18 | Category=Formula Difference
[ROE] HDFCLIFE | Source=11.4 | Computed=23.53 | Category=Formula Difference
[ROE] HDFCLIFE | Source=11.4 | Computed=22.65 | Category=Formula Difference
[ROE] HDFCLIFE | Source=11.4 | Computed=19.05 | Category=Formula Difference
[ROE] HEROMOTOCO | Source=22.0 | Computed=37.38 | Category=Formula Difference
[ROE] HEROMOTOCO | Source=22.0 | Computed=36.15 | Category=Formula Difference
[ROE] HEROMOTOCO | Source=22.0 | Computed=35.23 | Category=Formula Difference
[ROE] HEROMOTOCO | Source=22.0 | Computed=34.37 | Category=Formula Difference
[ROE] HEROMOTOCO | Source=22.0 | Computed=31.09 | Category=Formula Difference
[ROE] HEROMOTOCO | Source=22.0 | Computed=14.7 | Category=Formula Difference
[ROE] HEROMOTOCO | Source=22.0 | Computed=16.81 | Category=Formula Difference
[ROE] HINDALCO | Source=10.2 | Computed=0.68 | Category=Formula Difference
[ROE] HINDALCO | Source=10.2 | Computed=-1.73 | Category=Formula Difference
[ROE] HINDALCO | Source=10.2 | Computed=4.09 | Category=Formula Difference
[ROE] HINDALCO | Source=10.2 | Computed=17.56 | Category=Formula Difference
[ROE] HINDUNILVR | Source=20.2 | Computed=134.0 | Category=Formula Difference
[ROE] HINDUNILVR | Source=20.2 | Computed=111.85 | Category=Formula Difference
[ROE] HINDUNILVR | Source=20.2 | Computed=108.67 | Category=Formula Difference
[ROE] HINDUNILVR | Source=20.2 | Computed=63.15 | Category=Formula Difference
[ROE] HINDUNILVR | Source=20.2 | Computed=66.58 | Category=Formula Difference
[ROE] HINDUNILVR | Source=20.2 | Computed=71.79 | Category=Formula Difference
[ROE] HINDUNILVR | Source=20.2 | Computed=77.03 | Category=Formula Difference
[ROE] HINDUNILVR | Source=20.2 | Computed=82.1 | Category=Formula Difference
[ROE] ICICIBANK | Source=18.8 | Computed=11.61 | Category=Formula Difference
[ROE] ICICIBANK | Source=18.8 | Computed=10.84 | Category=Formula Difference
[ROE] ICICIBANK | Source=18.8 | Computed=8.23 | Category=Formula Difference
[ROE] ICICIBANK | Source=18.8 | Computed=4.98 | Category=Formula Difference
[ROE] ICICIBANK | Source=18.8 | Computed=9.13 | Category=Formula Difference
[ROE] ICICIBANK | Source=18.8 | Computed=12.92 | Category=Formula Difference
[ROE] ICICIPRULI | Source=8.07 | Computed=38.25 | Category=Formula Difference
[ROE] ICICIPRULI | Source=8.07 | Computed=35.61 | Category=Formula Difference
[ROE] ICICIPRULI | Source=8.07 | Computed=31.15 | Category=Formula Difference
[ROE] ICICIPRULI | Source=8.07 | Computed=31.0 | Category=Formula Difference
[ROE] ICICIPRULI | Source=8.07 | Computed=26.26 | Category=Formula Difference
[ROE] ICICIPRULI | Source=8.07 | Computed=24.63 | Category=Formula Difference
[ROE] ICICIPRULI | Source=8.07 | Computed=16.58 | Category=Formula Difference
[ROE] ICICIPRULI | Source=8.07 | Computed=14.79 | Category=Formula Difference
[ROE] INDUSINDBK | Source=15.2 | Computed=6.54 | Category=Formula Difference
[ROE] INDUSINDBK | Source=15.2 | Computed=9.67 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=24.82 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=23.93 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=24.39 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=21.85 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=20.81 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=24.69 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=23.73 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=25.42 | Category=Formula Difference
[ROE] INFY | Source=31.8 | Computed=25.44 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=5.75 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=10.26 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=7.08 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=13.8 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=19.97 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=19.87 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=15.36 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=-1.97 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=19.46 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=19.27 | Category=Formula Difference
[ROE] IOC | Source=25.44 | Computed=8.38 | Category=Formula Difference
[ROE] IRCTC | Source=40.4 | Computed=29.5 | Category=Formula Difference
[ROE] IRCTC | Source=40.4 | Computed=34.87 | Category=Formula Difference
[ROE] IRCTC | Source=40.4 | Computed=29.1 | Category=Formula Difference
[ROE] IRCTC | Source=40.4 | Computed=23.14 | Category=Formula Difference
[ROE] IRCTC | Source=40.4 | Computed=28.85 | Category=Formula Difference
[ROE] IRCTC | Source=40.4 | Computed=12.84 | Category=Formula Difference
[ROE] IRCTC | Source=40.4 | Computed=35.29 | Category=Formula Difference
[ROE] IRCTC | Source=40.4 | Computed=34.4 | Category=Formula Difference
[ROE] IRFC | Source=13.7 | Computed=8.16 | Category=Formula Difference
[ROE] IRFC | Source=13.7 | Computed=7.37 | Category=Formula Difference
[ROE] IRFC | Source=13.7 | Computed=7.78 | Category=Formula Difference
[ROE] ITC | Source=29.47 | Computed=22.26 | Category=Formula Difference
[ROE] ITC | Source=29.47 | Computed=22.57 | Category=Formula Difference
[ROE] ITC | Source=29.47 | Computed=21.89 | Category=Formula Difference
[ROE] ITC | Source=29.47 | Computed=21.7 | Category=Formula Difference
[ROE] ITC | Source=29.47 | Computed=23.89 | Category=Formula Difference
[ROE] ITC | Source=29.47 | Computed=22.18 | Category=Formula Difference
[ROE] JINDALSTEL | Source=14.1 | Computed=8.39 | Category=Formula Difference
[ROE] JINDALSTEL | Source=14.1 | Computed=-6.9 | Category=Formula Difference
[ROE] JINDALSTEL | Source=14.1 | Computed=-9.52 | Category=Formula Difference
[ROE] JINDALSTEL | Source=14.1 | Computed=-8.45 | Category=Formula Difference
[ROE] JINDALSTEL | Source=14.1 | Computed=-5.32 | Category=Formula Difference
[ROE] JINDALSTEL | Source=14.1 | Computed=-7.52 | Category=Formula Difference
[ROE] JINDALSTEL | Source=14.1 | Computed=-1.24 | Category=Formula Difference
[ROE] JSWENERGY | Source=8.4 | Computed=14.52 | Category=Formula Difference
[ROE] JSWENERGY | Source=8.4 | Computed=18.06 | Category=Formula Difference
[ROE] JSWENERGY | Source=8.4 | Computed=15.05 | Category=Formula Difference
[ROE] JSWENERGY | Source=8.4 | Computed=0.77 | Category=Formula Difference
[ROE] JSWSTEEL | Source=11.66 | Computed=5.44 | Category=Formula Difference
[ROE] JSWSTEEL | Source=11.66 | Computed=1.9 | Category=Formula Difference
[ROE] JSWSTEEL | Source=11.66 | Computed=-2.54 | Category=Formula Difference
[ROE] JSWSTEEL | Source=11.66 | Computed=21.83 | Category=Formula Difference
[ROE] JSWSTEEL | Source=11.66 | Computed=21.62 | Category=Formula Difference
[ROE] JSWSTEEL | Source=11.66 | Computed=16.84 | Category=Formula Difference
[ROE] JSWSTEEL | Source=11.66 | Computed=31.11 | Category=Formula Difference
[ROE] JSWSTEEL | Source=11.66 | Computed=6.3 | Category=Formula Difference
[ROE] LICI | Source=63.61 | Computed=324.32 | Category=Formula Difference
[ROE] LICI | Source=63.61 | Computed=270.46 | Category=Formula Difference
[ROE] LICI | Source=63.61 | Computed=43.2 | Category=Formula Difference
[ROE] LICI | Source=63.61 | Computed=36.38 | Category=Formula Difference
[ROE] LICI | Source=63.61 | Computed=77.86 | Category=Formula Difference
[ROE] LICI | Source=63.61 | Computed=49.45 | Category=Formula Difference
[ROE] LODHA | Source=10.7 | Computed=35.48 | Category=Formula Difference
